É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/10/13 09:28:46

,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
2014/6/20,63,8,1,1009.4,8,1,0.0,0,8,1,24.5,8,1,31.3,8,1,19.8,8,1
2014/6/21,68,8,1,1008.5,8,1,0.0,0,8,1,24.9,8,1,30.1,8,1,21.4,8,1
2014/6/22,74,8,1,1004.8,8,1,5.0,0,8,1,22.7,8,1,26.5,8,1,20.1,8,1
2014/6/23,59,8,1,1005.6,8,1,0,1,8,1,23.6,8,1,28.6,8,1,21.0,8,1
2014/6/24,55,8,1,1005.8,8,1,0.0,0,8,1,24.5,8,1,31.9,8,1,19.6,8,1
2014/6/25,55,8,1,1008.8,8,1,0.0,0,8,1,25.9,8,1,33.4,8,1,20.0,8,1
2014/6/26,71,8,1,1009.9,8,1,18.5,0,8,1,24.9,8,1,30.3,8,1,22.0,8,1
2014/6/27,65,8,1,1007.2,8,1,0.0,0,8,1,24.9,8,1,27.4,8,1,22.8,8,1
2014/6/28,79,8,1,1002.6,8,1,17.0,0,8,1,23.3,8,1,26.1,8,1,20.7,8,1
2014/6/29,74,8,1,1004.3,8,1,1.5,0,8,1,24.3,8,1,31.0,8,1,21.1,8,1
2014/6/30,64,8,1,1008.6,8,1,0.0,0,8,1,25.0,8,1,29.7,8,1,20.1,8,1
2014/7/1,56,8,1,1010.5,8,1,0,1,8,1,26.0,8,1,32.6,8,1,20.4,8,1
2014/7/2,59,8,1,1009.8,8,1,0.0,0,8,1,26.2,8,1,32.0,8,1,20.6,8,1
2014/7/3,80,8,1,1006.0,8,1,19.5,0,8,1,22.4,8,1,24.5,8,1,19.9,8,1
2014/7/4,75,8,1,1003.1,8,1,0.0,0,8,1,24.8,8,1,31.1,8,1,21.1,8,1
2014/7/5,76,8,1,1007.4,8,1,0.0,0,8,1,24.3,8,1,26.8,8,1,22.0,8,1
2014/7/6,78,8,1,1010.0,8,1,43.0,0,8,1,24.4,8,1,28.8,8,1,21.9,8,1
2014/7/7,84,8,1,1008.1,8,1,2.5,0,8,1,24.4,8,1,27.4,8,1,21.8,8,1
2014/7/8,75,8,1,1010.5,8,1,0.0,0,8,1,28.2,8,1,32.8,8,1,23.8,8,1
2014/7/9,76,8,1,1009.3,8,1,2.0,0,8,1,27.8,8,1,32.7,8,1,25.2,8,1
2014/7/10,81,8,1,995.3,8,1,9.5,0,8,1,26.5,8,1,28.8,8,1,24.5,8,1
2014/7/11,68,8,1,998.0,8,1,0.0,0,8,1,28.2,8,1,33.7,8,1,24.9,8,1
2014/7/12,61,8,1,1005.0,8,1,0,1,8,1,28.2,8,1,34.3,8,1,23.8,8,1
2014/7/13,75,8,1,1004.1,8,1,3.5,0,8,1,25.6,8,1,27.9,8,1,22.7,8,1
2014/7/14,82,8,1,1007.6,8,1,4.5,0,8,1,26.6,8,1,28.8,8,1,24.9,8,1
2014/7/15,66,8,1,1012.3,8,1,0,1,8,1,28.7,8,1,34.4,8,1,23.9,8,1
2014/7/16,62,8,1,1012.0,8,1,0.0,0,8,1,29.7,8,1,35.2,8,1,25.9,8,1
2014/7/17,62,8,1,1012.5,8,1,0,1,8,1,30.1,8,1,35.5,8,1,26.7,8,1
2014/7/18,67,8,1,1012.9,8,1,0.0,0,8,1,28.6,8,1,33.3,8,1,25.7,8,1
2014/7/19,76,8,1,1012.5,8,1,1.5,0,8,1,25.9,8,1,33.4,8,1,22.8,8,1
2014/7/20,71,8,1,1010.7,8,1,5.5,0,8,1,26.3,8,1,31.7,8,1,22.5,8,1
2014/7/21,62,8,1,1010.0,8,1,0,1,8,1,28.0,8,1,34.3,8,1,22.5,8,1
2014/7/22,63,8,1,1009.1,8,1,0.0,0,8,1,29.0,8,1,34.0,8,1,24.4,8,1
2014/7/23,61,8,1,1006.7,8,1,0,1,8,1,30.0,8,1,35.1,8,1,24.9,8,1
2014/7/24,63,8,1,1006.8,8,1,0.0,0,8,1,30.4,8,1,35.0,8,1,26.8,8,1
2014/7/25,60,8,1,1010.9,8,1,0,1,8,1,31.8,8,1,36.8,8,1,26.3,8,1
2014/7/26,57,8,1,1011.0,8,1,0,1,8,1,32.0,8,1,38.3,8,1,27.2,8,1
2014/7/27,68,8,1,1008.5,8,1,6.5,0,8,1,27.6,8,1,31.4,8,1,23.6,8,1
2014/7/28,60,8,1,1009.1,8,1,0,1,8,1,26.7,8,1,33.0,8,1,21.4,8,1
2014/7/29,61,8,1,1012.4,8,1,0,1,8,1,28.2,8,1,34.2,8,1,22.8,8,1
2014/7/30,67,8,1,1014.5,8,1,0.0,0,8,1,29.1,8,1,34.5,8,1,25.4,8,1
2014/7/31,60,8,1,1012.8,8,1,0,1,8,1,30.5,8,1,37.3,8,1,25.3,8,1
2014/8/1,60,8,1,1011.2,8,1,0.0,0,8,1,30.3,8,1,34.1,8,1,26.4,8,1
2014/8/2,78,8,1,1010.7,8,1,0.0,0,8,1,27.4,8,1,29.9,8,1,26.0,8,1
2014/8/3,76,8,1,1009.2,8,1,2.0,0,8,1,27.5,8,1,32.3,8,1,25.3,8,1
2014/8/4,76,8,1,1008.3,8,1,2.5,0,8,1,27.6,8,1,31.2,8,1,24.5,8,1
2014/8/5,64,8,1,1007.6,8,1,0.0,0,8,1,30.0,8,1,35.9,8,1,26.2,8,1
2014/8/6,67,8,1,1007.4,8,1,0.5,0,8,1,29.6,8,1,34.0,8,1,26.3,8,1
2014/8/7,62,8,1,1007.3,8,1,0.0,0,8,1,30.0,8,1,36.2,8,1,26.8,8,1
2014/8/8,72,8,1,1008.4,8,1,12.0,0,8,1,26.7,8,1,32.5,8,1,21.6,8,1
2014/8/9,85,8,1,1005.1,8,1,106.0,0,8,1,23.9,8,1,26.1,8,1,21.9,8,1
2014/8/10,84,8,1,992.1,8,1,121.0,0,8,1,26.3,8,1,28.3,8,1,24.9,8,1
2014/8/11,69,8,1,1000.1,8,1,0,1,8,1,27.8,8,1,32.6,8,1,24.4,8,1
2014/8/12,76,8,1,1004.5,8,1,2.0,0,8,1,26.3,8,1,30.4,8,1,23.5,8,1
2014/8/13,67,8,1,1008.9,8,1,0.0,0,8,1,28.0,8,1,34.2,8,1,24.2,8,1
2014/8/14,73,8,1,1009.8,8,1,0.0,0,8,1,28.8,8,1,33.2,8,1,26.1,8,1
2014/8/15,78,8,1,1008.0,8,1,53.0,0,8,1,28.7,8,1,33.5,8,1,26.2,8,1
2014/8/16,88,8,1,1008.4,8,1,113.5,0,8,1,27.0,8,1,29.8,8,1,24.5,8,1
2014/8/17,74,8,1,1011.6,8,1,4.0,0,8,1,29.0,8,1,34.5,8,1,25.5,8,1
2014/8/18,65,8,1,1014.4,8,1,1.5,0,8,1,29.4,8,1,35.1,8,1,25.3,8,1
2014/8/19,65,8,1,1014.4,8,1,0.0,0,8,1,30.2,8,1,35.8,8,1,25.9,8,1
2014/8/20,61,8,1,1014.3,8,1,0.0,0,8,1,30.4,8,1,35.0,8,1,26.5,8,1
2014/8/21,60,8,1,1013.1,8,1,0.0,0,8,1,29.7,8,1,33.8,8,1,26.6,8,1
2014/8/22,63,8,1,1012.2,8,1,0.0,0,8,1,29.1,8,1,33.4,8,1,26.2,8,1
2014/8/23,74,8,1,1011.5,8,1,11.5,0,8,1,27.4,8,1,33.8,8,1,24.1,8,1
2014/8/24,84,8,1,1011.5,8,1,35.5,0,8,1,25.2,8,1,29.3,8,1,23.0,8,1
2014/8/25,78,8,1,1010.5,8,1,0.5,0,8,1,26.6,8,1,32.7,8,1,23.2,8,1
2014/8/26,78,8,1,1008.2,8,1,16.0,0,8,1,26.6,8,1,31.7,8,1,23.6,8,1
2014/8/27,69,8,1,1012.0,8,1,0.0,0,8,1,26.7,8,1,31.7,8,1,23.7,8,1
2014/8/28,72,8,1,1014.8,8,1,4.5,0,8,1,23.9,8,1,27.9,8,1,21.5,8,1
2014/8/29,70,8,1,1014.6,8,1,0.5,0,8,1,24.1,8,1,30.0,8,1,21.1,8,1
2014/8/30,71,8,1,1012.7,8,1,0.5,0,8,1,24.3,8,1,29.8,8,1,20.4,8,1
2014/8/31,65,8,1,1012.1,8,1,0.0,0,8,1,25.5,8,1,29.7,8,1,22.3,8,1
2015/6/1,49,8,1,1010.7,8,1,0,1,8,1,24.5,8,1,31.2,8,1,16.9,8,1
2015/6/2,61,8,1,1010.7,8,1,0.0,0,8,1,25.5,8,1,30.9,8,1,21.1,8,1
2015/6/3,79,8,1,1003.4,8,1,40.5,0,8,1,21.7,8,1,24.1,8,1,17.4,8,1
2015/6/4,53,8,1,1009.8,8,1,0,1,8,1,20.1,8,1,26.5,8,1,14.9,8,1
2015/6/5,70,8,1,1008.6,8,1,24.0,0,8,1,16.3,8,1,19.6,8,1,14.5,8,1
2015/6/6,67,8,1,1010.9,8,1,0.5,0,8,1,18.5,8,1,23.7,8,1,14.4,8,1
2015/6/7,65,8,1,1017.6,8,1,0,1,8,1,20.8,8,1,26.2,8,1,14.8,8,1
2015/6/8,73,8,1,1013.4,8,1,12.0,0,8,1,20.7,8,1,24.3,8,1,18.2,8,1
2015/6/9,83,8,1,1005.4,8,1,26.5,0,8,1,20.8,8,1,24.1,8,1,18.4,8,1
2015/6/10,59,8,1,1009.3,8,1,0,1,8,1,23.4,8,1,30.3,8,1,16.9,8,1
2015/6/11,71,8,1,1008.7,8,1,6.5,0,8,1,21.6,8,1,25.5,8,1,19.5,8,1
2015/6/12,75,8,1,1005.4,8,1,6.0,0,8,1,24.1,8,1,30.8,8,1,19.7,8,1
2015/6/13,53,8,1,1010.0,8,1,0,1,8,1,25.5,8,1,32.9,8,1,18.8,8,1
2015/6/14,62,8,1,1009.9,8,1,0.0,0,8,1,24.6,8,1,28.3,8,1,21.8,8,1
2015/6/15,62,8,1,1009.1,8,1,0,1,8,1,25.6,8,1,30.6,8,1,20.7,8,1
2015/6/16,71,8,1,1005.0,8,1,2.5,0,8,1,23.7,8,1,27.0,8,1,21.3,8,1
2015/6/17,64,8,1,1005.1,8,1,0.0,0,8,1,24.7,8,1,31.1,8,1,19.8,8,1
2015/6/18,72,8,1,1007.5,8,1,3.0,0,8,1,21.8,8,1,24.2,8,1,19.7,8,1
2015/6/19,80,8,1,1007.2,8,1,12.0,0,8,1,20.3,8,1,23.0,8,1,18.1,8,1
2015/6/20,70,8,1,1008.5,8,1,0.0,0,8,1,23.2,8,1,27.4,8,1,19.8,8,1
2015/6/21,78,8,1,1009.4,8,1,65.0,0,8,1,22.5,8,1,29.5,8,1,18.8,8,1
2015/6/22,70,8,1,1011.9,8,1,0.0,0,8,1,23.6,8,1,27.7,8,1,18.6,8,1
2015/6/23,66,8,1,1011.4,8,1,0.0,0,8,1,25.0,8,1,30.7,8,1,21.5,8,1
2015/6/24,64,8,1,1009.4,8,1,0.0,0,8,1,25.7,8,1,31.9,8,1,20.4,8,1
2015/6/25,60,8,1,1006.5,8,1,0,1,8,1,26.2,8,1,31.0,8,1,22.9,8,1
2015/6/26,85,8,1,1001.2,8,1,49.5,0,8,1,22.2,8,1,24.2,8,1,21.4,8,1
2015/6/27,74,8,1,1001.4,8,1,0.0,0,8,1,22.9,8,1,25.9,8,1,20.2,8,1
2015/6/28,68,8,1,1007.8,8,1,0.0,0,8,1,20.9,8,1,25.3,8,1,18.9,8,1
2015/6/29,60,8,1,1008.9,8,1,0.0,0,8,1,23.5,8,1,29.1,8,1,18.7,8,1
2015/6/30,73,8,1,1004.0,8,1,15.0,0,8,1,22.9,8,1,27.3,8,1,19.8,8,1
2015/7/1,85,8,1,995.2,8,1,33.5,0,8,1,22.7,8,1,27.1,8,1,19.4,8,1
2015/7/2,67,8,1,1002.7,8,1,0,1,8,1,25.2,8,1,31.0,8,1,21.2,8,1
2015/7/3,67,8,1,1004.9,8,1,1.0,0,8,1,25.4,8,1,30.4,8,1,21.8,8,1
2015/7/4,80,8,1,1009.7,8,1,12.5,0,8,1,22.7,8,1,24.5,8,1,20.6,8,1
2015/7/5,72,8,1,1010.7,8,1,0.0,0,8,1,22.8,8,1,26.6,8,1,19.9,8,1
2015/7/6,75,8,1,1011.6,8,1,1.0,0,8,1,22.7,8,1,24.5,8,1,20.7,8,1
2015/7/7,84,8,1,1013.0,8,1,13.0,0,8,1,22.7,8,1,24.3,8,1,21.1,8,1
2015/7/8,80,8,1,1013.7,8,1,2.5,0,8,1,24.9,8,1,28.6,8,1,21.9,8,1
2015/7/9,80,8,1,1014.0,8,1,2.5,0,8,1,26.4,8,1,30.6,8,1,23.4,8,1
2015/7/10,68,8,1,1013.9,8,1,0.0,0,8,1,28.4,8,1,33.6,8,1,24.4,8,1
2015/7/11,69,8,1,1012.5,8,1,0.0,0,8,1,28.6,8,1,33.7,8,1,25.6,8,1
2015/7/12,64,8,1,1009.5,8,1,0,1,8,1,29.4,8,1,34.8,8,1,24.4,8,1
2015/7/13,60,8,1,1006.3,8,1,0.0,0,8,1,30.6,8,1,35.3,8,1,26.7,8,1
2015/7/14,56,8,1,1006.6,8,1,0,1,8,1,30.8,8,1,36.5,8,1,26.3,8,1
2015/7/15,59,8,1,1006.3,8,1,0.0,0,8,1,29.8,8,1,35.1,8,1,26.5,8,1
2015/7/16,73,8,1,999.9,8,1,9.5,0,8,1,27.4,8,1,29.7,8,1,24.4,8,1
2015/7/17,85,8,1,999.7,8,1,183.5,0,8,1,25.2,8,1,28.1,8,1,22.9,8,1
2015/7/18,81,8,1,1010.0,8,1,78.0,0,8,1,25.0,8,1,30.4,8,1,21.4,8,1
2015/7/19,72,8,1,1014.2,8,1,1.0,0,8,1,27.7,8,1,32.7,8,1,23.8,8,1
2015/7/20,60,8,1,1014.3,8,1,0,1,8,1,29.5,8,1,35.7,8,1,24.9,8,1
2015/7/21,61,8,1,1012.4,8,1,0,1,8,1,29.0,8,1,33.8,8,1,24.6,8,1
2015/7/22,83,8,1,1011.3,8,1,37.5,0,8,1,26.0,8,1,28.2,8,1,24.5,8,1
2015/7/23,85,8,1,1013.0,8,1,26.5,0,8,1,25.2,8,1,27.0,8,1,23.5,8,1
2015/7/24,65,8,1,1012.0,8,1,0,1,8,1,28.4,8,1,35.3,8,1,23.8,8,1
2015/7/25,62,8,1,1011.7,8,1,0,1,8,1,29.2,8,1,34.4,8,1,24.5,8,1
2015/7/26,57,8,1,1012.1,8,1,0,1,8,1,30.5,8,1,35.9,8,1,26.1,8,1
2015/7/27,65,8,1,1008.4,8,1,0.0,0,8,1,29.7,8,1,35.8,8,1,26.7,8,1
2015/7/28,76,8,1,1008.3,8,1,7.0,0,8,1,28.0,8,1,33.5,8,1,25.7,8,1
2015/7/29,73,8,1,1008.2,8,1,7.0,0,8,1,29.1,8,1,35.9,8,1,25.9,8,1
2015/7/30,71,8,1,1009.4,8,1,0.5,0,8,1,29.7,8,1,34.4,8,1,26.1,8,1
2015/7/31,65,8,1,1009.9,8,1,0,1,8,1,30.7,8,1,36.5,8,1,25.7,8,1
2015/8/1,60,8,1,1010.6,8,1,0,1,8,1,32.2,8,1,38.5,8,1,26.3,8,1
2015/8/2,58,8,1,1011.5,8,1,0,1,8,1,32.6,8,1,39.1,8,1,27.4,8,1
2015/8/3,62,8,1,1011.3,8,1,1.0,0,8,1,31.1,8,1,37.9,8,1,27.5,8,1
2015/8/4,60,8,1,1009.7,8,1,0.0,0,8,1,31.8,8,1,37.3,8,1,26.6,8,1
2015/8/5,58,8,1,1009.9,8,1,0,1,8,1,31.6,8,1,37.2,8,1,27.3,8,1
2015/8/6,65,8,1,1012.8,8,1,0,1,8,1,30.9,8,1,35.1,8,1,28.6,8,1
2015/8/7,62,8,1,1014.9,8,1,14.0,0,8,1,31.1,8,1,36.7,8,1,27.6,8,1
2015/8/8,65,8,1,1012.6,8,1,0.0,0,8,1,30.2,8,1,38.1,8,1,26.2,8,1
2015/8/9,60,8,1,1009.2,8,1,0,1,8,1,30.7,8,1,36.8,8,1,25.5,8,1
2015/8/10,56,8,1,1007.5,8,1,0.0,0,8,1,30.4,8,1,37.3,8,1,25.7,8,1
2015/8/11,54,8,1,1006.7,8,1,0,1,8,1,29.7,8,1,36.1,8,1,24.5,8,1
2015/8/12,60,8,1,1005.6,8,1,0.0,0,8,1,29.0,8,1,33.8,8,1,25.1,8,1
2015/8/13,78,8,1,1002.1,8,1,27.5,0,8,1,27.1,8,1,32.1,8,1,23.5,8,1
2015/8/14,63,8,1,1004.8,8,1,0.0,0,8,1,28.5,8,1,33.8,8,1,25.7,8,1
2015/8/15,58,8,1,1007.8,8,1,0.0,0,8,1,28.7,8,1,35.2,8,1,23.5,8,1
2015/8/16,64,8,1,1008.1,8,1,2.0,0,8,1,27.4,8,1,32.8,8,1,23.6,8,1
2015/8/17,84,8,1,1005.9,8,1,51.5,0,8,1,25.6,8,1,31.2,8,1,23.1,8,1
2015/8/18,68,8,1,1010.7,8,1,0.0,0,8,1,27.1,8,1,33.2,8,1,21.9,8,1
2015/8/19,71,8,1,1013.4,8,1,2.0,0,8,1,26.5,8,1,29.6,8,1,24.2,8,1
2015/8/20,86,8,1,1010.8,8,1,59.5,0,8,1,25.6,8,1,28.6,8,1,23.7,8,1
2015/8/21,77,8,1,1005.8,8,1,8.0,0,8,1,27.2,8,1,33.0,8,1,23.5,8,1
2015/8/22,67,8,1,1003.3,8,1,0.5,0,8,1,28.3,8,1,32.6,8,1,25.6,8,1
2015/8/23,62,8,1,1005.0,8,1,0,1,8,1,27.5,8,1,32.6,8,1,24.2,8,1
2015/8/24,63,8,1,1006.3,8,1,0.0,0,8,1,27.2,8,1,32.5,8,1,22.4,8,1
2015/8/25,77,8,1,1002.0,8,1,29.5,0,8,1,24.8,8,1,26.7,8,1,22.3,8,1
2015/8/26,68,8,1,1003.4,8,1,5.5,0,8,1,27.0,8,1,32.4,8,1,22.4,8,1
2015/8/27,59,8,1,1008.1,8,1,0,1,8,1,27.3,8,1,33.6,8,1,23.6,8,1
2015/8/28,67,8,1,1009.7,8,1,5.5,0,8,1,26.5,8,1,33.7,8,1,22.0,8,1
2015/8/29,78,8,1,1010.4,8,1,25.0,0,8,1,25.9,8,1,29.6,8,1,23.0,8,1
2015/8/30,83,8,1,1010.0,8,1,5.0,0,8,1,25.0,8,1,27.8,8,1,22.8,8,1
2015/8/31,84,8,1,1013.9,8,1,5.0,0,8,1,23.9,8,1,25.4,8,1,23.1,8,1
2016/6/1,50,8,1,1005.9,8,1,0,1,8,1,20.6,8,1,25.2,8,1,17.1,8,1
2016/6/2,47,8,1,1008.6,8,1,0,1,8,1,19.4,8,1,24.3,8,1,15.3,8,1
2016/6/3,44,8,1,1012.9,8,1,0,1,8,1,20.6,8,1,28.6,8,1,12.6,8,1
2016/6/4,62,8,1,1013.0,8,1,1.5,0,8,1,21.1,8,1,26.5,8,1,16.5,8,1
2016/6/5,70,8,1,1011.5,8,1,13.5,0,8,1,19.9,8,1,24.9,8,1,16.5,8,1
2016/6/6,62,8,1,1013.9,8,1,0,1,8,1,22.6,8,1,28.9,8,1,16.3,8,1
2016/6/7,76,8,1,1013.4,8,1,7.0,0,8,1,20.8,8,1,21.9,8,1,19.3,8,1
2016/6/8,65,8,1,1012.0,8,1,0,1,8,1,23.5,8,1,28.8,8,1,19.4,8,1
2016/6/9,70,8,1,1010.7,8,1,0.5,0,8,1,23.6,8,1,27.8,8,1,21.3,8,1
2016/6/10,60,8,1,1012.7,8,1,0,1,8,1,25.3,8,1,32.4,8,1,19.1,8,1
2016/6/11,61,8,1,1014.1,8,1,0,1,8,1,25.9,8,1,30.7,8,1,21.9,8,1
2016/6/12,72,8,1,1009.3,8,1,18.5,0,8,1,24.2,8,1,28.1,8,1,21.1,8,1
2016/6/13,79,8,1,999.2,8,1,27.5,0,8,1,22.5,8,1,26.1,8,1,20.3,8,1
2016/6/14,67,8,1,1003.5,8,1,0.0,0,8,1,24.5,8,1,30.3,8,1,20.5,8,1
2016/6/15,66,8,1,1007.1,8,1,0.0,0,8,1,25.7,8,1,30.5,8,1,21.9,8,1
2016/6/16,82,8,1,1002.9,8,1,31.5,0,8,1,22.7,8,1,24.7,8,1,20.6,8,1
2016/6/17,75,8,1,1007.2,8,1,1.5,0,8,1,23.9,8,1,28.5,8,1,20.5,8,1
2016/6/18,54,8,1,1013.8,8,1,0,1,8,1,25.8,8,1,33.5,8,1,18.5,8,1
2016/6/19,80,8,1,1012.5,8,1,15.5,0,8,1,21.8,8,1,23.5,8,1,20.5,8,1
2016/6/20,72,8,1,1008.4,8,1,0.5,0,8,1,25.7,8,1,31.0,8,1,21.6,8,1
2016/6/21,78,8,1,1006.9,8,1,29.0,0,8,1,25.4,8,1,30.6,8,1,21.5,8,1
2016/6/22,80,8,1,1007.6,8,1,12.5,0,8,1,24.4,8,1,29.1,8,1,21.8,8,1
2016/6/23,75,8,1,1004.4,8,1,26.0,0,8,1,24.0,8,1,28.2,8,1,20.7,8,1
2016/6/24,80,8,1,1004.8,8,1,21.5,0,8,1,22.0,8,1,26.0,8,1,18.5,8,1
2016/6/25,79,8,1,1003.4,8,1,14.0,0,8,1,23.4,8,1,27.6,8,1,19.6,8,1
2016/6/26,70,8,1,1009.3,8,1,0.0,0,8,1,22.7,8,1,28.7,8,1,18.9,8,1
2016/6/27,65,8,1,1012.6,8,1,30.0,0,8,1,24.0,8,1,30.8,8,1,18.8,8,1
2016/6/28,80,8,1,1010.9,8,1,14.0,0,8,1,21.7,8,1,26.5,8,1,19.0,8,1
2016/6/29,81,8,1,1013.1,8,1,15.5,0,8,1,23.1,8,1,26.7,8,1,20.5,8,1
2016/6/30,80,8,1,1012.6,8,1,4.0,0,8,1,25.5,8,1,29.2,8,1,22.7,8,1
2016/7/1,70,8,1,1012.9,8,1,0,1,8,1,27.3,8,1,33.4,8,1,22.3,8,1
2016/7/2,62,8,1,1011.1,8,1,0.0,0,8,1,29.4,8,1,34.7,8,1,24.7,8,1
2016/7/3,69,8,1,1010.5,8,1,0.0,0,8,1,29.0,8,1,34.0,8,1,26.1,8,1
2016/7/4,70,8,1,1013.0,8,1,0.0,0,8,1,28.5,8,1,35.2,8,1,25.3,8,1
2016/7/5,63,8,1,1015.7,8,1,0,1,8,1,30.0,8,1,37.0,8,1,24.4,8,1
2016/7/6,61,8,1,1016.4,8,1,0,1,8,1,29.8,8,1,35.2,8,1,25.8,8,1
2016/7/7,64,8,1,1014.6,8,1,0,1,8,1,29.6,8,1,34.1,8,1,26.0,8,1
2016/7/8,76,8,1,1013.3,8,1,5.0,0,8,1,27.0,8,1,30.4,8,1,24.2,8,1
2016/7/9,87,8,1,1007.3,8,1,36.0,0,8,1,24.2,8,1,26.4,8,1,21.8,8,1
2016/7/10,70,8,1,1004.8,8,1,0,1,8,1,28.3,8,1,34.0,8,1,24.1,8,1
2016/7/11,63,8,1,1005.6,8,1,0.0,0,8,1,29.9,8,1,35.9,8,1,24.9,8,1
2016/7/12,79,8,1,1005.8,8,1,5.5,0,8,1,28.0,8,1,30.6,8,1,26.0,8,1
2016/7/13,82,8,1,1001.9,8,1,17.0,0,8,1,27.5,8,1,29.6,8,1,25.8,8,1
2016/7/14,70,8,1,998.4,8,1,3.0,0,8,1,28.0,8,1,33.9,8,1,24.3,8,1
2016/7/15,71,8,1,1001.0,8,1,0.0,0,8,1,24.6,8,1,27.4,8,1,22.5,8,1
2016/7/16,63,8,1,1005.7,8,1,0,1,8,1,26.9,8,1,32.6,8,1,21.7,8,1
2016/7/17,74,8,1,1006.8,8,1,3.0,0,8,1,27.7,8,1,32.6,8,1,25.5,8,1
2016/7/18,63,8,1,1008.8,8,1,0,1,8,1,27.8,8,1,33.8,8,1,23.5,8,1
2016/7/19,59,8,1,1010.4,8,1,0,1,8,1,27.6,8,1,34.1,8,1,22.6,8,1
2016/7/20,60,8,1,1011.5,8,1,0,1,8,1,27.2,8,1,34.7,8,1,22.5,8,1
2016/7/21,61,8,1,1011.3,8,1,0,1,8,1,26.7,8,1,32.8,8,1,22.1,8,1
2016/7/22,61,8,1,1010.7,8,1,0,1,8,1,27.0,8,1,34.4,8,1,21.9,8,1
